Punto;Latitud;Longitud;Altura
P1;1089659,64;510121,35;1412,61
E1;1089697,1;510128,18;1412,83
E2;1089647,3;510081,23;1412,84
E3;1089708,67;510069,78;1413,97
E4;1089710,97;510137,45;1414,02
E5;1089719,03;510088,06;1414,41
P2;1089704,29;510115,86;1413,31
P3;1089704,12;510114,7;1413,55
P4;1089701,71;510114,76;1413,52
P5;1089699,07;510115,65;1413,08
P6;1089687,52;510115,8;1413,07
P7;1089686,25;510119,75;1413,01
P8;1089692,51;510130,69;1412,75
P9;1089674,84;510136,43;1411,88
P10;1089669,91;510135,31;1411,72
P11;1089674,74;510115,8;1412,67
P12;1089657,49;510119,15;1412,5
P13;1089657,11;510114,16;1412,84
P14;1089677,89;510116,47;1413,59
P15;1089681,48;510116,41;1413,24
P16;1089681,63;510122,05;1412,79
P17;1089678,09;510122,11;1412,78
P18;1089681,66;510125,14;1412,54
P19;1089678,11;510125,12;1412,54
P20;1089681,72;510128,1;1412,46
P21;1089681,75;510131,12;1412,23
P22;1089678,17;510131,14;1412,26
P23;1089678,23;510134,18;1412,01
P24;1089681,75;510134,11;1412,03
P25;1089684,23;510138,32;1411,84
P26;1089681,97;510143,38;1411,35
P27;1089675,88;510150,45;1411,06
P28;1089682;510146,27;1411,08
P29;1089681,98;510148,53;1410,85
P30;1089685,83;510144,43;1410,14
P31;1089689,23;510144,45;1409,97
P32;1089694,1;510144,43;1409,87
P33;1089695,5;510150,44;1409,87
P34;1089696,8;510144,44;1410,02
P35;1089690,33;510134,67;1412,58
P36;1089694,12;510134,79;1412,55
P37;1089698,18;510133,03;1412,84
P38;1089702;510133,23;1413,04
P39;1089708,46;510132,6;1414,18
P40;1089715,26;510121,33;1414,35
P41;1089716,72;510105,69;1414,49
P42;1089701,46;510102,51;1413,14
P43;1089703,02;510093,16;1413,17
P44;1089682,8;510131,11;1412,32
P45;1089682,77;510130,63;1412,34
P46;1089682,76;510130,07;1412,35
P47;1089682,7;510129,61;1412,39
P48;1089682,66;510129,07;1412,43
P49;1089682,72;510128,56;1412,46
P50;1089682,75;510128,03;1412,49
P51;1089682,75;510127,44;1412,53
P52;1089682,68;510126,79;1412,56
P53;1089682,68;510126,26;1412,59
P54;1089682,71;510125,24;1412,63
P55;1089682,71;510122,64;1412,8
P56;1089682,57;510120,55;1412,93
P57;1089682,59;510118,49;1413,01
P58;1089682,47;510116,33;1413,12
P59;1089682,48;510114,64;1413,15
P60;1089683,54;510114,66;1413,16
P61;1089683,56;510116,4;1413,13
P62;1089683,43;510117,72;1413,03
P63;1089683,28;510118,64;1413,02
P64;1089683,39;510120,07;1412,99
P65;1089683,38;510121,52;1412,91
P66;1089683,37;510123,01;1412,84
P67;1089683,91;510124,88;1412,79
P68;1089683,87;510126,62;1412,68
P69;1089683,72;510128,23;1412,61
P70;1089683,59;510130,3;1412,47
P71;1089683,51;510131,67;1412,34
P72;1089683,38;510133,06;1412,22
P73;1089684,15;510133,08;1412,36
P74;1089684,19;510131,72;1412,43
P75;1089684,13;510130,45;1412,56
P76;1089684,16;510129,26;1412,62
P77;1089684,09;510127,64;1412,67
P78;1089684,12;510125,49;1412,78
P79;1089684,16;510121,32;1412,95
P80;1089684,36;510119,11;1413,04
P81;1089683,98;510117,26;1413,07
P82;1089683,2;510115,32;1413,14
P83;1089685,18;510115,54;1413,1
P84;1089685,27;510118,2;1413,05
P85;1089685,03;510120,72;1413,03
P86;1089685,1;510123,66;1412,9
P87;1089684,98;510125,98;1412,83
P88;1089685,33;510129,1;1412,75
P89;1089685,09;510130,44;1412,58
P90;1089685,19;510133,72;1412,48
P91;1089687,38;510132,5;1412,55
P92;1089687,45;510131,03;1412,75
P93;1089687,29;510127,85;1412,87
P94;1089687,18;510125,22;1412,91
P95;1089687,12;510122,76;1412,97
P96;1089687,24;510119,1;1412,96
P97;1089688,89;510119,07;1413,1
P98;1089688,74;510122,05;1413,03
P99;1089688,32;510125,77;1412,91
P100;1089688,25;510129,01;1412,87
P101;1089688,43;510131,43;1412,81
P102;1089690,64;510130,88;1412,89
P103;1089690,77;510128,05;1412,96
P104;1089690,86;510124,17;1413,04
P105;1089690,7;510118,94;1413,1
P106;1089693,93;510119,06;1413,03
P107;1089694,08;510122,19;1413,09
P108;1089694,33;510125,95;1413,05
P109;1089694,29;510128,4;1413,01
P110;1089694,79;510131,66;1412,88
P111;1089692,32;510132,82;1412,79
P112;1089694,01;510133,05;1412,83
P113;1089695,51;510133,47;1412,83
P114;1089694,87;510133,95;1412,66
P115;1089696,1;510133,05;1412,84
P116;1089696,63;510130,71;1412,97
P117;1089696,29;510126,08;1413,1
P118;1089696,85;510121,77;1413,09
P119;1089696,48;510118,06;1413,02
P120;1089701,46;510119,02;1413,09
P121;1089701,27;510122,44;1413,04
P122;1089700,77;510128,18;1412,98
P123;1089700,4;510131,01;1413,02
P124;1089703,2;510118,13;1413,15
P125;1089702,77;510119,71;1413,11
P126;1089702,48;510121,74;1413,04
P127;1089701,88;510124,58;1412,97
P128;1089702,44;510125,49;1412,97
P129;1089701,73;510127,36;1412,92
P130;1089701,26;510127,96;1412,93
P131;1089701,28;510129,34;1413,03
P132;1089701,27;510131,35;1413,1
P133;1089706,58;510118,85;1414,32
P134;1089705,59;510120,58;1414,19
P135;1089705,21;510123,26;1414,22
P136;1089705,06;510125,4;1414,07
P137;1089703,95;510126,67;1413,73
P138;1089702,96;510127,77;1413,39
P139;1089702,04;510128,79;1413,2
P140;1089701,95;510129,8;1413,12
P141;1089701,92;510130,53;1413,13
P142;1089701,99;510131,71;1413,23
P143;1089701,97;510132,98;1413,05
P144;1089703,55;510133,53;1412,63
P145;1089703,53;510132,09;1413,41
P146;1089703,74;510130,01;1413,46
P147;1089704;510128,89;1413,75
P148;1089704,24;510127,77;1413,85
P149;1089705,13;510127,82;1414,06
P150;1089706,2;510128,83;1414,12
P151;1089706,31;510129,99;1413,94
P152;1089706,48;510131,89;1413,95
P153;1089706,03;510134,19;1413,9
P154;1089707,19;510135,27;1413,93
P155;1089708,04;510136,33;1413,9
P156;1089709,14;510137,62;1413,92
P157;1089710,34;510137,81;1413,98
P158;1089711,81;510137,72;1414,09
P159;1089713,7;510137,55;1414,2
P160;1089716,44;510137,58;1414,22
P161;1089718,57;510137,54;1414,16
P162;1089720,5;510137,37;1414,14
P163;1089722,42;510137,47;1414,01
P164;1089662,75;510068,14;1413,75
P165;1089662,93;510069,73;1413,7
P166;1089662,85;510073,09;1413,61
P167;1089662,93;510076,73;1413,51
P168;1089662,98;510079,94;1413,41
P169;1089663;510083,81;1413,3
P170;1089662,5;510088,47;1413,1
P171;1089663,14;510092,66;1413,01
P172;1089663,18;510097,67;1412,86
P173;1089663,25;510102,27;1412,72
P174;1089663,31;510107,19;1412,54
P175;1089663,29;510110,55;1412,44
P176;1089663,34;510113,69;1412,32
P177;1089663,42;510117,57;1412,21
P178;1089663,41;510119,86;1412,13
P179;1089663,21;510121;1412,07
P180;1089662,71;510122,56;1412,02
P181;1089661,69;510124,26;1411,89
P182;1089661,06;510125,02;1411,85
P183;1089676,96;510066,3;1413,89
P184;1089676,94;510068,79;1413,79
P185;1089676,93;510071,15;1413,73
P186;1089677,1;510075,35;1413,62
P187;1089677,21;510077,44;1413,64
P188;1089677,19;510079,81;1413,5
P189;1089677,25;510084,43;1413,37
P190;1089674,98;510084,53;1413,31
P191;1089671,15;510084,55;1413,2
P192;1089671,17;510087,96;1413,08
P193;1089672,93;510087,72;1413,13
P194;1089672,92;510089;1413,12
P195;1089673,43;510088,34;1413,14
P196;1089677,37;510088,87;1413,22
P197;1089677,41;510090,46;1413,17
P198;1089677,33;510092,17;1413,12
P199;1089677,47;510095;1413,02
P200;1089677,41;510097,67;1412,93
P201;1089677,25;510100,26;1412,84
P202;1089677,39;510103,09;1412,78
P203;1089677,61;510108,36;1412,62
P204;1089677,66;510110,93;1412,53
P205;1089673,78;510111,13;1412,47
P206;1089671,8;510112,73;1412,41
P207;1089671,33;510115,4;1412,34
P208;1089674,81;510115,78;1412,5
P209;1089677,16;510115,79;1412,52
P210;1089677,18;510121,01;1412,29
P211;1089677,03;510123,56;1412,17
P212;1089677,27;510126,39;1412,05
P213;1089677,4;510128,97;1411,96
P214;1089670,72;510066,5;1413,68
P215;1089670,81;510069,09;1413,63
P216;1089670,83;510071,55;1413,55
P217;1089670,97;510074,11;1413,48
P218;1089670,85;510076,34;1413,4
P219;1089670,94;510078,85;1413,34
P220;1089670,95;510081,44;1413,29
P221;1089671,03;510090,62;1413,02
P222;1089671,03;510097,29;1412,82
P223;1089670,86;510100,51;1412,71
P224;1089670,58;510102,89;1412,64
P225;1089670,9;510105,92;1412,58
P226;1089670,87;510108,48;1412,52
P227;1089670,87;510111,56;1412,46
P228;1089670,96;510116,89;1412,28
P229;1089670,98;510119,84;1412,19
P230;1089679,88;510066,47;1414,56
P231;1089680,01;510069,65;1414,45
P232;1089680,05;510072,07;1414,37
P233;1089680,1;510075,03;1414,09
P234;1089680,14;510077,39;1413,87
P235;1089680,13;510079,09;1413,76
P236;1089680,29;510081,83;1413,76
P237;1089680,17;510083,87;1413,75
P238;1089680,37;510086,55;1413,75
P239;1089680,34;510089,78;1413,62
P240;1089680,4;510093,16;1413,52
P241;1089680,52;510096,62;1413,49
P242;1089680,55;510099,87;1413,46
P243;1089680,52;510102,6;1413,42
P244;1089680,56;510106,07;1413,35
P245;1089680,61;510108,7;1413,32
P246;1089680,58;510110,93;1413,3
P247;1089680,57;510114,26;1413,22
P248;1089680,67;510117,77;1413
P249;1089680,73;510120,5;1412,78
P258;1089683,23;510078,65;1413,62
P259;1089682,89;510077,06;1413,6
P260;1089682,95;510074,1;1414,04
P261;1089683,02;510073,03;1413,93
P262;1089683,07;510071,38;1414,04
P263;1089709,19;510130,82;1414,23
P264;1089710,74;510130,58;1414,21
P265;1089712,28;510130,51;1414,2
P266;1089714,65;510130,39;1414,19
P267;1089716,86;510130,12;1414,19
P268;1089721,1;510129,53;1413,97
P269;1089720,58;510126,76;1413,98
P270;1089717,87;510126,77;1414,19
P271;1089714,76;510126,83;1414,28
P272;1089711,71;510126,91;1414,26
P273;1089709,29;510126,95;1414,29
P274;1089706,57;510127,14;1414,24
P275;1089706,85;510123,9;1414,34
P276;1089710,56;510123,92;1414,31
P277;1089713,9;510123,69;1414,31
P278;1089717,36;510123,55;1414,22
P279;1089719,66;510123,14;1414,05
P280;1089719,05;510120,7;1414,12
P281;1089715,52;510120,5;1414,38
P282;1089712,81;510120,51;1414,36
P283;1089709,54;510120,69;1414,4
P284;1089706,72;510120,88;1414,36
P285;1089707,11;510117,82;1414,37
P286;1089709,64;510118,15;1414,43
P287;1089712,76;510118,3;1414,39
P288;1089715,58;510118,06;1414,41
P289;1089718,44;510117,97;1414,24
P290;1089717,2;510114,94;1414,35
P291;1089714,85;510114,74;1414,42
P292;1089711,5;510114,81;1414,42
P293;1089707,18;510115,31;1414,43
P294;1089707,55;510112,55;1414,43
P295;1089710,97;510112,94;1414,45
P296;1089714,34;510113,11;1414,41
P297;1089716,75;510112,94;1414,36
P298;1089716,59;510109,73;1414,4
P299;1089713,77;510110,08;1414,43
P300;1089710,68;510110,08;1414,51
P301;1089707,41;510110,33;1414,36
P302;1089711,82;510132,29;1414,2
P303;1089715,25;510132,35;1414,19
P304;1089717,83;510132,46;1414,18
P305;1089721,3;510132,13;1413,94
P306;1089722,83;510134,82;1413,89
P307;1089719,29;510134,95;1414,17
P308;1089715,21;510135,16;1414,18
P309;1089711,5;510134,95;1414,15
P310;1089684,2;510136,93;1411,79
P311;1089684,29;510138,74;1411,17
P312;1089684,32;510141,01;1410,62
P313;1089684,14;510143,74;1410,43
P314;1089685,14;510143,89;1410,15
P315;1089685,22;510142,33;1410,17
P316;1089685,19;510141,24;1410,34
P317;1089685,17;510139,86;1410,65
P318;1089685,32;510138,62;1411,09
P319;1089685,51;510137,27;1411,67
P320;1089686,61;510136,18;1412,02
P321;1089686,57;510137,64;1411,3
P322;1089686,4;510139,95;1410,35
P323;1089686,97;510140,38;1409,92
P324;1089687,04;510140,76;1410,18
P325;1089687,07;510142,94;1410,01
P326;1089689,46;510143,07;1410,02
P327;1089689,95;510140,57;1410,17
P328;1089689,89;510140,37;1409,9
P329;1089689,98;510139,83;1410,23
P330;1089695,26;510139,82;1410,14
P331;1089695,11;510140,28;1409,85
P332;1089695,04;510140,75;1410,08
P333;1089695,16;510143,56;1409,87
P334;1089701,85;510143,06;1409,96
P335;1089702,07;510140,5;1410,08
P336;1089696,62;510128,08;1413,06
P337;1089707,95;510075,55;1413,2
P338;1089707,81;510078,32;1413,16
P339;1089707,72;510081,49;1413,17
P340;1089707,05;510086,89;1413,22
P341;1089706,66;510089,43;1413,21
P342;1089706,38;510092,66;1413,28
P343;1089704,82;510102,64;1413,24
P344;1089704,44;510071,53;1413,25
P345;1089704,12;510076,12;1413,15
P346;1089704,4;510083,51;1413,14
P347;1089704,05;510089,17;1413,09
P348;1089703,73;510095,9;1413,18
P349;1089702,29;510102,63;1413,16
P350;1089699,86;510101,95;1413,09
P351;1089700,4;510085,96;1413,11
P352;1089700,65;510078,79;1413,01
P353;1089701,21;510073,48;1413,08
P354;1089696,49;510072,93;1413,15
P355;1089694,06;510072,99;1413,14
P356;1089690,93;510072,96;1413,18
P357;1089687,19;510072,69;1413,19
P358;1089684,6;510072,71;1413,34
P359;1089699,72;510076,78;1413,08
P360;1089696,5;510076,58;1413,05
P361;1089689,94;510075,71;1413,08
P362;1089693,74;510078,7;1413,04
P363;1089700,57;510078,87;1412,97
P364;1089685,05;510070,44;1413,72
P365;1089685,3;510069,42;1414,3
P366;1089693,23;510070,68;1413,56
P367;1089693,1;510069,76;1414,15
P368;1089702,24;510070,8;1413,62
P369;1089702,4;510069,56;1414,29
P370;1089706,3;510070,75;1413,62
P371;1089709,13;510071,93;1413,71
P372;1089710,33;510076,82;1414,36
P373;1089709,91;510082,18;1414,26
P374;1089709,33;510086,94;1414,26
P375;1089708,67;510092,91;1414,37
P376;1089707,76;510098,82;1414,29
P377;1089701,36;510140,62;1410,54
P378;1089702;510139,89;1410,6
P379;1089702,46;510142,95;1410,53
P380;1089702,84;510142,84;1410,29
P381;1089703,24;510142,72;1410,54
P382;1089704,33;510147,09;1410,03
P383;1089705,04;510146,2;1410,46
P384;1089703,86;510153,52;1410,13
P385;1089709,22;510153,71;1410,2
P386;1089710,16;510150,05;1410,32
P387;1089710,22;510147,46;1412,1
P388;1089710,39;510147,09;1410,21
P389;1089710,49;510146,52;1410,48
P390;1089713,62;510153,9;1410,1
P391;1089715,26;510154,68;1410,08
P392;1089716,26;510157,2;1410,05
P393;1089716,19;510159,15;1410,02
P394;1089716,7;510159,64;1410,01
P395;1089717,3;510159,68;1409,96
P396;1089717,23;510160,54;1409,96
P397;1089716,2;510160,53;1410,01
P400;1089723,79;510174;1410
P401;1089727,67;510173,75;1409,87
P402;1089727,89;510173,67;1409,6
P403;1089728,28;510173,53;1409,81
P404;1089725,34;510167,65;1410,06
P405;1089725,76;510167,56;1409,79
P406;1089727,17;510169,35;1409,83
P407;1089726,01;510168,13;1409,84
P408;1089726,47;510168,29;1409,53
P409;1089727,06;510168,17;1409,85
P410;1089725,67;510164,74;1409,29
P411;1089726;510164,55;1409,61
P412;1089726,43;510164,41;1409,88
P413;1089724,56;510156,1;1409,95
P414;1089725,02;510156,03;1409,73
P415;1089725,49;510155,99;1409,99
P416;1089723,67;510147,84;1410,1
P417;1089723,86;510147,53;1410,47
P418;1089723,98;510147,04;1410,11
P419;1089717,34;510147,66;1410,25
P420;1089717,32;510147,2;1410,07
P421;1089717,23;510146,97;1410,32
P422;1089713,27;510147,56;1410,36
P423;1089713,3;510147,13;1410,19
P424;1089713,27;510146,64;1410,42
P425;1089707,69;510150,41;1410,28
P426;1089712,75;510150,37;1410,25
P427;1089719,69;510150,86;1411,16
P428;1089719,9;510155,07;1410,04
P429;1089720,35;510160,54;1409,94
P430;1089721,09;510165,74;1409,98
P431;1089729,81;510173,02;1410,66
P432;1089731,64;510172,63;1410,81
P433;1089730,63;510169,05;1410,91
P434;1089729,01;510168,28;1410,74
P435;1089728,21;510164,83;1410,72
P436;1089728,37;510161,96;1410,96
P437;1089733,64;510167,7;1412,43
P438;1089738,31;510167,74;1412,44
P439;1089735,41;510165,65;1412,53
P440;1089734,48;510167,13;1412,42
P441;1089734,03;510158,54;1412,7
P442;1089730,31;510153,84;1412,52
P443;1089732,7;510149,43;1412,69
P444;1089729,47;510148,35;1412,42
P445;1089727,63;510143,27;1412,51
P446;1089729,2;510138,87;1412,51
P447;1089702,45;510121,26;1413,52
P448;1089688,24;510115,52;1413,31
P449;1089700,29;510158,11;1410,29
P450;1089714,66;510155,58;1410,24
P1;1089729,81;510139,88;1412,48
P452;1089726,92;510139,89;1412,38
P453;1089725,4;510134,83;1412,27
P454;1089728,62;510134,29;1412,34
P455;1089727,49;510128,84;1412,16
P456;1089724,32;510130,37;1412,27
P457;1089723,54;510125,27;1412,1
P458;1089727,25;510124,58;1412,15
P459;1089727,34;510119,1;1412,16
P460;1089723,48;510119,7;1411,91
P461;1089727,4;510116,66;1412,15
P462;1089724,65;510116,09;1411,97
P463;1089727,79;510112,89;1412,09
P464;1089728,95;510105,44;1411,86
P465;1089731,18;510098,6;1411,73
P466;1089733,91;510091,96;1411,65
P467;1089736,46;510087,12;1411,67
P468;1089734,66;510086,32;1411,92
P469;1089734,18;510086,18;1411,45
P470;1089733,56;510086,06;1411,95
P471;1089731,28;510091,62;1411,82
P472;1089731,74;510089,66;1411,74
P473;1089732,16;510090,12;1412,19
P474;1089731,23;510089,52;1412,22
P475;1089727,21;510097,09;1412,17
P476;1089727,67;510097,35;1411,66
P477;1089708,57;510103,53;1414,5
P478;1089717,25;510104,5;1414,66
P479;1089719,09;510095,4;1414,64
P480;1089710,2;510095,29;1414,66
P481;1089710,51;510087,24;1414,6
P482;1089720,37;510090,09;1414,61
P483;1089722,52;510080,62;1414,56
P484;1089711,68;510081,2;1414,64
P485;1089711,04;510076,34;1414,57
P486;1089715,64;510076,46;1414,8
P487;1089719,92;510076,69;1414,7
P488;1089722,95;510076,67;1414,63
EST 5;1089719,03;510088,06;1414,63
EST4;1089710,96;510137,45;1413,84
P489;1089728,27;510097,98;1411,01
P490;1089727,06;510100,82;1411,03
P491;1089726,66;510100,57;1410,51
P492;1089726,19;510100,34;1411,03
P493;1089726,78;510101,28;1411,01
P494;1089726,34;510101,03;1410,49
P495;1089725,84;510100,99;1411,03
P496;1089725,65;510104,16;1410,99
P497;1089725,3;510104,2;1410,48
P498;1089729,65;510095,07;1411,1
P499;1089729,31;510095,01;1410,58
P500;1089728,89;510094,69;1411,08
P501;1089726,06;510093,07;1411,81
P502;1089724,13;510095,8;1411,91
P503;1089722,84;510098,98;1411,99
P504;1089727,04;510090,72;1411,84
P505;1089728,54;510088;1411,9
P506;1089732;510085,27;1411,68
P507;1089725,18;510075,29;1414,23
P508;1089729,4;510072,41;1414,05
P509;1089735,8;510068,24;1414,1
P510;1089736,97;510069,8;1414,11
P511;1089739,37;510072,72;1413,57
P512;1089735,97;510075,38;1413,72
P513;1089730,94;510080,71;1413,51
P514;1089724,05;510116,6;1412
P515;1089724,41;510116,82;1412
P516;1089723,93;510117,1;1411,91
P517;1089723,87;510114,95;1411,32
P518;1089723,39;510114,96;1410,81
P519;1089723,06;510114,89;1411,33
P520;1089723,91;510112,59;1411,27
P521;1089723,55;510112,61;1410,81
P522;1089723,08;510112,44;1411,34
P523;1089724,29;510109,79;1411,3
P524;1089723,8;510109,73;1410,8
P525;1089723,6;510109,58;1411,33
P526;1089724,99;510106,86;1411,36
P527;1089724,64;510106,47;1410,85
P528;1089724,33;510106,32;1411,34
P529;1089725,07;510123,19;1412,04
P530;1089725,97;510125,57;1412,11
P531;1089726,54;510128,89;1412,15
P532;1089726,24;510134,05;1412,25
P533;1089685,99;510139,66;1410,4
P534;1089686,19;510140,2;1410,28
P535;1089690,93;510151,58;1410,1
P536;1089686,57;510139,26;1410,41
P537;1089701,42;510140,59;1410,42
P538;1089701,66;510140,34;1410,18
P539;1089701,88;510139,99;1410,41
P540;1089704,27;510147,22;1410,34
P541;1089704,65;510146,78;1410,07
P542;1089705,1;510146,05;1410,46
P543;1089718,91;510144,05;1411,37
P544;1089723,99;510147,66;1409,76
P545;1089724,27;510147,16;1409,97
P546;1089725,97;510168,77;1409,75
P547;1089730,05;510182,49;1409,75
P548;1089730,39;510182,69;1409,59
P549;1089730,66;510182,44;1409,79
P550;1089721,45;510170,2;1410,1
P551;1089714,71;510155,96;1410,07
P553;1089700,09;510158,5;1410,06
P554;1089688,16;510115,52;1413,11
P555;1089699,69;510115,95;1413,19
P556;1089702,46;510115,06;1413,67
P557;1089704,7;510115,25;1413,68
P558;1089713,561;510165,286;1410,01
P559;1089698,897;510152,647;1410,13
P560;1089698,911;510158,42;1410,13
P561;1089704,549;510150,083;1410,32
p562;1089686,486;510113,26;
